CANONICAL_SLUG	CANONICAL_TITLE	CATEGORY	SOURCE_TITLE	DOMAIN	URL	SOURCE
perviy	Первый канал	Федеральные	Первый HD	mhd128.iptv2022.com	https://mhd128.iptv2022.com/p/A5bn6ElwV2Py3cuPNsI1aw,1781117615/streaming/1kanalott/324/5/tracks-v5a1/mono.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый HD	46.32.176.50	http://46.32.176.50/perviy/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый HD	185.78.112.47:8077	http://185.78.112.47:8077/ort_hd/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал HD	94.228.166.20:8000	http://94.228.166.20:8000/play/a069/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал HD	31.148.48.15:80	http://31.148.48.15:80/Pervii_kanal_HD/index.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
perviy	Первый канал	Федеральные	Первый канал HD	217.174.229.136:8000	http://217.174.229.136:8000/play/a09g	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый HD	cdn.kubteltv.workers.dev	http://cdn.kubteltv.workers.dev/?ID=421	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый HD	tv.ttk.mx:9093	http://tv.ttk.mx:9093	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
perviy	Первый канал	Федеральные	Первый канал	rt-ct-yarl-htlive.cdn.ngenix.net	http://rt-ct-yarl-htlive.cdn.ngenix.net/hls/CH_R03_OTT_CT_YARL_1TV/variant.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал	stream8.cinerama.uz	https://stream8.cinerama.uz/1019/tracks-v1a1/mono.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
