slug	name	epg_id	channel_found	programmes
perviy	Первый канал	146	1	362
russia1	Россия 1	711	1	242
match	Матч ТВ	2051	1	282
ntv	НТВ	162	1	390
5kanal	Пятый канал	427	1	441
russiak	Россия К	187	1	382
russia24	Россия 24	1683	1	754
karusel	Карусель	740	1	354
otr	ОТР	1000	1	495
tvc	ТВ Центр	649	1	441
rentv	РЕН ТВ	18	1	308
spas	Спас	2141	1	393
sts	СТС	79	1	246
domashniy	Домашний	304	1	427
tv3	ТВ-3	698	1	464
pyatnica	Пятница!	1003	1	286
zvezda	Звезда	405	1	377
mir	Мир	726	1	371
tnt	ТНТ	353	1	497
muztv	Муз-ТВ	897	1	349
match_premier	Матч! Премьер	2250	1	282
match_futbol_1	Матч! Футбол 1	2044	1	193
match_futbol_2	Матч! Футбол 2	1042	1	190
match_futbol_3	Матч! Футбол 3	2005	1	193
setanta_sports_1	Setanta Sports 1	7517	1	95
setanta_sports_2	Setanta Sports 2	2363	1	87
match_arena	Матч! Арена	2003	1	229
match_boec	Матч! Боец	2054	1	258
match_igra	Матч! Игра	2050	1	257
skysportspl	Sky Sports Premier League	4569	1	413
vip_premiere	viju+ Premiere	1013	1	178
vip_megahit	viju+ Megahit	1012	1	164
vip_comedy	viju+ Comedy	1011	1	185
tv1000	viju TV1000	127	1	114
tv1000_action	viju TV1000 Action	125	1	106
kinopremyera	Кинопремьера	566	1	200
amedia_premium	Amedia Premium	1372	1	415
amedia_hit	Amedia Hit	2007	1	466
amedia1	Amedia 1	1371	1	410
amedia2	Amedia 2	2492	1	260
kinoxit	Кинохит	542	1	195
mujskoe_kino	Мужское кино	1584	1	207
kinosvidanie	Киносвидание	462	1	163
kinosemya	Киносемья	987	1	224
kinopokaz	Кинопоказ	2834	1	178
dom_kino	Дом кино	834	1	140
mosfilm	Мосфильм. Золотая коллекция	3357	1	251
rbc	РБК	743	1	763
izvestia	Известия	2271	1	2612
euronews	Euronews	2266	1	2439
soloviev_live	Соловьев LIVE	13	1	123
rtd	RTД	2295	1	688
tnt_music	ТНТ MUSIC	680	1	321
europa_plus_tv	Europa Plus TV	681	1	427
bridge_tv	Bridge TV	151	1	146
bridge_deluxe	Bridge Deluxe	2022	1	292
bridge_classic	BRIDGE CLASSIC	bridge-tv-classic	1	45
bridge_rock	BRIDGE ROCK	bridge-tv-rock	1	64
rtg_tv	Russian Travel Guide	648	1	644
travel_adventure	Travel+Adventure	1035	1	531
viasat_explore	Viasat Explore	521	1	235
viasat_history	Viasat History	8940	1	165
viasat_nature	Viasat Nature	765	1	248
mult	Мульт	1332	1	256
multilandia	Мультиландия	2757	1	147
nickelodeon	Nickelodeon	423	1	859
soviet_cartoons	Советские мультфильмы	1111	1	644
moya_planeta	Моя Планета	675	1	531
two_x_two	2x2	323	1	553
kinokomediya	Кинокомедия	821	1	214
kinomix	Киномикс	644	1	178
kinoseria	Киносерия	799	1	358
lubimoe_kino	Любимое кино	477	1	159
evrokino	Еврокино	352	1	217
nst	НСТ	518	1	209
discovery	Discovery Channel	325	1	223
tv1000_romantica	viju TV1000 Romantica	viju-tv1000-romantica	1	177
eurosport_1	Eurosport 1	eurosport1	1	152
eurosport_2	Eurosport 2	eurosport2	1	149
solnce	Солнце	solnce	1	82
russky_roman	Русский роман	russky-roman	1	80
russky_detektiv	Русский детектив	russky-detektiv	1	253
kino_tv	Кино ТВ	kino-tv	1	126
yu	Ю	yu	1	99
subbota	Суббота!	super	1	384
national_geographic	National Geographic	national-geographic	1	299
animal_planet	Animal Planet	animal-planet-eu	1	252
multimuzyka	Мультимузыка	multimuzyka	1	308
dw_russian	DW Russian	deutsche-welle-ru	1	449
nba_tv	NBA TV	nba-tv-us	1	143
nhl_network	NHL Network	nhl-network-us	1	162
tnt4	ТНТ4	tnt4	1	394
khl_prime	КХЛ Prime	kxl-hd	1	142
khl	КХЛ	kxl	1	127
abc-news-live	ABC News Live	abc-news-live-us	1	318
bbc-news	BBC News	bbc	1	428
cnn	CNN International	cnn	1	254
nauka	Наука	nauka-20	1	366
eda-premium	Еда Премиум	eda-hd	1	478
fx	FX	fox	1	279
avto-plus	Авто Плюс	avto-plus	1	969
bober	Бобёр	bobior	1	156
ru-tv	RU.TV	ru-tv	1	118
shanson-tv	Шансон ТВ	shanson-tv	1	131
sarafan	Сарафан	sarafan	1	226
kvn-tv	КВН ТВ	kvn-tv	1	114
bridge-tv-ruxit	Bridge TV Русский Хит	bridge-tv-ruxit	1	52
bridge-tv-dance	Bridge TV Hits	bridge-tv-dance	1	47
