perviy	Федеральные	Первый канал	1 канал|1TV|Perviy kanal|Первый|Первый канал|Первый HD
russia1	Федеральные	Россия 1	Rossiya 1|Russia 1|Россия 1|Россия-1
match	Федеральные	Матч ТВ	Match TV|Матч ТВ|Матч!
ntv	Федеральные	НТВ	NTV|НТВ|НТВ HD
5kanal	Федеральные	Пятый канал	5 kanal|5 канал|Пятый|Пятый канал
russiak	Федеральные	Россия К	Rossiya K|Культура|Россия К|Россия Культура
russia24	Федеральные	Россия 24	Rossiya 24|Russia 24|Россия 24|Россия-24|Rossiya24|Russia24
karusel	Федеральные	Карусель	Karusel|Карусель
otr	Федеральные	ОТР	OTR|ОТР
tvc	Федеральные	ТВ Центр	TV Centr|TVC|ТВ Центр|ТВЦ
rentv	Федеральные	РЕН ТВ	REN TV|РЕН ТВ|Рен-ТВ
spas	Федеральные	Спас	Spas|Спас
sts	Федеральные	СТС	STS|СТС|СТС HD
domashniy	Федеральные	Домашний	Domashniy|Домашний
tv3	Федеральные	ТВ-3	TV3|ТВ-3|ТВ3|ТВ3 HD
pyatnica	Федеральные	Пятница!	Pyatnica|Пятница|Пятница!
zvezda	Федеральные	Звезда	Zvezda|Звезда
mir	Федеральные	Мир	MIR|Мир
tnt	Федеральные	ТНТ	ТНТ|ТНТ HD
muztv	Федеральные	Муз-ТВ	MUZ TV|Муз ТВ|Муз-ТВ
match_premier	Спорт	Матч! Премьер	Match Premier|Матч Премьер|Матч! Премьер
match_futbol_1	Спорт	Матч! Футбол 1	Match! Futbol 1|Матч Футбол 1|Матч! Футбол 1
match_futbol_2	Спорт	Матч! Футбол 2	Match! Futbol 2|Матч Футбол 2|Матч! Футбол 2
match_futbol_3	Спорт	Матч! Футбол 3	Match! Futbol 3|Матч Футбол 3|Матч! Футбол 3
setanta_sports_1	Спорт	Setanta Sports 1	Setanta Sport 1|Setanta Sports 1|Setanta Sports 1 Georgia|Setanta Georgia|setanta_georgia
setanta_sports_2	Спорт	Setanta Sports 2	Setanta Sport 2|Setanta Sports 2|Setanta Sports 2 Georgia|Setanta Sports Plus Georgia|Setanta Sports + Georgia|setanta_sports_plus_georgia
match_arena	Спорт	Матч! Арена	Match! Arena|Матч Арена|Матч! Арена
match_boec	Спорт	Матч! Боец	Матч Боец|Матч! Боец
match_igra	Спорт	Матч! Игра	Матч Игра|Матч! Игра
khl_prime	Спорт	КХЛ Prime	KHL HD|KHL Prime|КХЛ HD|КХЛ Prime
skysportspl	Спорт	Sky Sports Premier League	Sky Sports PL|Sky Sports Premier League|Sky Sports Premier League HD
vip_premiere	Кино	viju+ Premiere	ViP Premiere|viju+ Premiere
vip_megahit	Кино	viju+ Megahit	ViP Megahit|viju+ Megahit
vip_comedy	Кино	viju+ Comedy	ViP Comedy|viju+ Comedy
tv1000	Кино	viju TV1000	TV1000|viju TV1000
tv1000_action	Кино	viju TV1000 Action	TV1000 Action|viju TV1000 Action
tv1000_romantica	Кино	viju TV1000 Romantica	TV1000 Romantica|TV1000 Romantika|viju TV1000 Romantica|viju TV1000 Romantika|Viju TV1000 Romantica|Viju TV1000 Romantika|Romantica|Romantika|Романтика
kinopremyera	Кино	Кинопремьера	Kinopremyera|Кино премьера|Кинопремьера|Кинопремьера HD
kinoxit	Кино	Кинохит	Kinoxit|Кино хит|Кинохит|Кинохит HD
mujskoe_kino	Кино	Мужское кино	Мужское кино|Мужское кино HD
kinosvidanie	Кино	Киносвидание	Kinosvidanie|Кино свидание|Киносвидание
kinosemya	Кино	Киносемья	Kinosemya|Кино семья|Киносемья
kinopokaz	Кино	Кинопоказ	Кинопоказ|Kinopokaz
dom_kino	Кино	Дом кино	Дом кино|Dom kino|DomKino
mosfilm	Кино	Мосфильм. Золотая коллекция	Мосфильм|Мосфильм. Золотая коллекция
rbc	Новости	РБК	RBC|RBC HD|RBK|РБК|РБК HD|РБК ТВ
izvestia	Новости	Известия	IZ.RU|Izvestia|Izvestiya|Известия|Известия HD|Известия ТВ
euronews	Новости	Euronews	Euronews|Euronews Rus|Euronews Russian|Евроньюс
soloviev_live	Новости	Соловьев LIVE	Soloviev LIVE HD|Soloviev Live|Соловьев|Соловьев LIVE|Соловьев Лайф
rtd	Новости	RTД	RT Doc|RT Documentary|RT Documentary Russian|RT Документальный|RTД|RTД HD
1hd_music_tv	Музыка	1HD Music Television	1HD|1HD Music|1HD Music Television
tnt_music	Музыка	ТНТ MUSIC	TNT Music|ТНТ MUSIC|ТНТ Music
europa_plus_tv	Музыка	Europa Plus TV	Europa Plus TV|Европа Плюс
bridge_tv	Музыка	Bridge TV	Bridge TV
bridge_deluxe	Музыка	Bridge Deluxe	Bridge Deluxe|Bridge TV Deluxe
rtg_tv	Развлекательные	Russian Travel Guide	RTG|RTG HD|RTG TV|Russian Travel Guide
travel_adventure	Развлекательные	Travel+Adventure	Travel Adventure HD|Travel and Adventure|Travel+Adventure
viasat_explore	Развлекательные	Viasat Explore	Viasat Explore|Viasat Explore HD|Viju Explore|Виасат Эксплор
viasat_history	Развлекательные	Viasat History	Viasat History|Viasat History HD|Viju History|Виасат Хистори
viasat_nature	Развлекательные	Viasat Nature	Viasat Nature|Viasat Nature HD|Viju Nature|Виасат Нэйчер
mult	Детские	Мульт	Mult|Мульт|Мульт HD
multilandia	Детские	Мультиландия	Multilandiya|Мультиландия|Мультиландия HD
nickelodeon	Детские	Nickelodeon	Nickelodeon|Nickelodeon HD|Никелодеон
soviet_cartoons	Детские	Советские мультфильмы	Soviet Cartoons|Советские мультфильмы|Союзмультфильм
kinokomediya	Кино	Кинокомедия	Кинокомедия|Kinokomediya|Kinokomediya HD|Кинокомедия HD
kinomix	Кино	Киномикс	Киномикс|Kinomix|Киномикс HD|Kinomix HD
kinoseria	Кино	Киносерия	Киносерия|Kinoseria|Киносерия HD|Kinoseria HD
lubimoe_kino	Кино	Любимое кино	Любимое кино|LubimoeKino|Lubimoe Kino|Любимое Кино
evrokino	Кино	Еврокино	Еврокино|Evrokino|Eurokino
nst	Кино	НСТ	НСТ|HCT|NST
moya_planeta	Развлечения	Моя Планета	Моя Планета|Моя Планета HD|Моя планета|Моя планета HD|045 Моя планета|Moya Planeta|Moya_Planeta|Moya Planeta HD|my_planet|myplanet|moyaplaneta
two_x_two	Детям	2x2	2x2|2х2|2x2 HD|2х2 HD|2 X 2|2 Х 2|2x2 TV|2x2TV
discovery	Развлечения	Discovery Channel	Discovery Channel|Discovery Channel HD|Discovery HD|DISCOVERY CHANNEL HD|Discovery|DISCOVERY HD
