perviy	Первый канал	146
russia1	Россия 1	711
match	Матч ТВ	2051
ntv	НТВ	162
5kanal	Пятый канал	427
russiak	Россия К	187
russia24	Россия 24	1683
karusel	Карусель	740
otr	ОТР	1000
tvc	ТВ Центр	649
rentv	РЕН ТВ	18
spas	Спас	2141
sts	СТС	79
domashniy	Домашний	304
tv3	ТВ-3	698
pyatnica	Пятница!	1003
zvezda	Звезда	405
mir	Мир	726
tnt	ТНТ	353
muztv	Муз-ТВ	897
match_premier	Матч! Премьер	2250
match_futbol_1	Матч! Футбол 1	2044
match_futbol_2	Матч! Футбол 2	1042
match_futbol_3	Матч! Футбол 3	2005
setanta_sports_1	Setanta Sports 1	7517
setanta_sports_2	Setanta Sports 2	2363
match_arena	Матч! Арена	2003
match_boec	Матч! Боец	2054
match_igra	Матч! Игра	2050
khl_prime	КХЛ Prime	1038
skysportspl	Sky Sports Premier League	4569
vip_premiere	viju+ Premiere	1013
vip_megahit	viju+ Megahit	1012
vip_comedy	viju+ Comedy	1011
tv1000	viju TV1000	127
tv1000_action	viju TV1000 Action	125
kinopremyera	Кинопремьера	566
amedia_premium	Amedia Premium	1372
amedia_hit	Amedia Hit	2007
amedia1	Amedia 1	1371
amedia2	Amedia 2	2492
kinoxit	Кинохит	542
mujskoe_kino	Мужское кино	1584
kinosvidanie	Киносвидание	462
kinosemya	Киносемья	987
kinopokaz	Кинопоказ	2834
dom_kino	Дом кино	834
mosfilm	Мосфильм. Золотая коллекция	3357
rbc	РБК	743
izvestia	Известия	2271
euronews	Euronews	2266
soloviev_live	Соловьев LIVE	13
rtd	RTД	2295
1hd_music_tv	1HD Music Television	4037
tnt_music	ТНТ MUSIC	680
europa_plus_tv	Europa Plus TV	681
bridge_tv	Bridge TV	151
bridge_deluxe	Bridge Deluxe	2022
rtg_tv	Russian Travel Guide	648
travel_adventure	Travel+Adventure	1035
viasat_explore	Viasat Explore	521
viasat_history	Viasat History	8940
viasat_nature	Viasat Nature	765
mult	Мульт	1332
multilandia	Мультиландия	2757
nickelodeon	Nickelodeon	423
soviet_cartoons	Советские мультфильмы	1111
moya_planeta	Моя Планета	675
two_x_two	2x2	323
kinokomediya	Кинокомедия	821
kinomix	Киномикс	644
kinoseria	Киносерия	799
lubimoe_kino	Любимое кино	477
evrokino	Еврокино	352
nst	НСТ	518
discovery	Discovery Channel	325
tv1000_romantica	viju TV1000 Romantica	viju-tv1000-romantica
